course_title,course_id,course_organisation,course_certification,course_difficulty,course_rating,course_reviews,course_url,course_skills,course_description
"The Modern World, Part One: Global History from 1760 to 1910",modern-world,University of Virginia,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/modern-world,Art History  foreign policy  india  analysis  the family of man  global  history  general knowledge  military  international relations arts-and-humanities history,This is a survey of modern history from a global perspective. Part One begins with the political and economic revolutions of the late 1700s and tracks the transformation of the world during the 1800s.  Part One concludes as these bewildering changes seem to be running beyond the capacity of older institutions to handle them.  Throughout the course we try to grasp what is happening and ask:  Why?  And the answers often turn on very human choices.
Digital Media and Marketing Strategies,marketing-plan,University of Illinois at Urbana-Champaign,Not specified,Advanced,4.4,No reviews,https://www.coursera.org/learn/marketing-plan,market (economics)  Digital Marketing  Planning  media market  Social Media  digital media  Marketing  digital strategy  Strategy  marketing strategy business marketing,"The proliferation of digital technology gives businesses a diverse new set of tools to reach, engage, monitor, and respond to consumers to an unprecedented degree. The aggregated and voluminous digital data can also be leveraged to better target specific consumer segments. Following the Digital Marketing Channels: The Landscape, this course aims to give you a deeper understanding of core processes of planning a digital marketing campaign and the role of various digital channels in an integrated marketing communication."
Building Conversational Experiences with Dialogflow,conversational-experiences-dialogflow,Google Cloud,Not specified,Intermediate,4.3,No reviews,https://www.coursera.org/learn/conversational-experiences-dialogflow,Experiment  Google App Engine  natural language  Cloud Computing  Google Cloud Platform  Natural Language Processing  Cloud Platforms  dialog system  language  basic access authentication computer-science software-development,"This course provides a deep dive into how to create a chatbot using Dialogflow, augment it with Cloud Natural Language API, and operationalize it using Google Cloud tools.  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<"
Financial Engineering and Risk Management Part I,financial-engineering-1,Columbia University,Not specified,Intermediate,4.4,No reviews,https://www.coursera.org/learn/financial-engineering-1,pricing  financial engineering  modeling  Risk  financial risk  derivative (finance)  derivative  Microsoft Excel  financial modeling  Finance business finance,"Financial Engineering is a multidisciplinary field drawing from finance and economics, mathematics, statistics, engineering and computational methods. The emphasis of FE & RM Part I will be on the use of simple stochastic models to price derivative securities in various asset classes including equities, fixed income, credit and mortgage-backed securities. We will also consider the role that some of these asset classes played during the financial crisis. A notable feature of this course will be an interview module with Emanuel Derman, the renowned ``quant'' and best-selling author of ""My Life as a Quant"".   We hope that students who complete the course will begin to understand the ""rocket science"" behind financial engineering but perhaps more importantly, we hope they will also understand the limitations of this theory in practice and why financial models should always be treated with a healthy degree of skepticism. The follow-on course FE & RM Part II will continue to develop derivatives pricing models but it will also focus on asset allocation and portfolio optimization as well as other applications of financial engineering such as real options, commodity and energy derivatives and algorithmic trading."
Enterprise Architecture,enterprise-architecture,Peter the Great St. Petersburg Polytechnic University,Not specified,Advanced,4.5,No reviews,https://www.coursera.org/learn/enterprise-architecture,business architecture  Leadership and Management  archimate  the open group architecture framework  enterprise architect  business process  enterprise architecture  Software Architecture  business logic  architecture business business-essentials,"What, exactly, does it mean to be a leader in complex organizational structure and drive corporate development in the era of digitalization? This course will boost your managerial skills to significantly new level, providing a framework for coordination different enterprise aspects. Why it is important? Imagine how complicated global corporations are and how knotted might be relations between stakeholders. Enterprise Architecture course will give you a powerful tool based on a world-wide standard to create, implement and evolve you own management style.  This course is advisable for different specialists, who associate their career with EA concepts, such as: IT-solutions architecture, business engineering, information and communications technology, design thinking and innovation, business process management and corporate project management. As an example, you might be working on the following positions (to make sure that this course is convenient for you): IT experts (CIOs, IT managers, CTOs) and Systems Analysts, creating and developing corporate information systems. Senior-level business managers (CEOs, COOs, CFOs), directing enterprise development and implementing Business and IT strategy. Middle-level business managers, managing programs of projects.  Operational business managers, leading business processes optimization.  Requirements: � Experience in business-IT alignment tasks and activities � Basic understanding of IT industry (types of projects, corporate information systems, contracting aspects) � Knowledge of the English language  At the end of the Course, you will be able to: Communicate with various stakeholders and lead corporate development of company, taking into account business and technological aspects of different industries. Acquire and use skills of modeling enterprise from different viewpoints and identifying bottlenecks to implement business and IT strategy.  The course was developed by Graduate School of Business and Management of Peter the Great St. Petersburg Polytechnic University with the support of GET Information Technology GmbH, Germany."
Introduction to G Suite,introduction-g-suite,Google Cloud,Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/introduction-g-suite,domain name system  latex  google services  .properties  organizational structure  Accounting  resource  nsa suite a cryptography  digital signature  provisioning computer-science computer-security-and-networks,"Introduction to G Suite is the first course in the G Suite Administration series of courses.  This series will serve as the starting place for any new G Suite admin as they begin their journey of managing and establishing G Suite best practices for their organization. These courses together will leave you feeling confident to utilize the basic functions of the admin console to manage users, control access to services, configure security settings, and much more.  Through a series of readings and step-by-step hands-on exercises, and knowledge checks, learners can expect to leave this training with all of the skills they need to get started as G Suite administrators.  In this course you will sign up for a G Suite account and configure your DNS records for G Suite. You will learn how to provision and manage your users, and will create groups and calendar resources for your organization. You will be introduced to your Cloud Directory and will learn how to split your organization into organizational units to simplify user and service management. Finally you will learn how to delegate admin privileges to other users in your organization.  Learning Objectives  By the end of this course participants will be able to:  - Setup a G Suite account and access and navigate the admin console. - Describe the key properties of the G Suite directory. - Provision users, groups and calendar resources in G Suite. - Undertake common user management tasks. - Explain how an organizational structure can be used in G Suite to simplify user and service management. - Describe the types of admin roles available in G Suite. - Use the G Suite Help Center as an aid to managing G Suite.  IMPORTANT - To get the most out of this training course, learners should be prepared to:  - Purchase a new domain through a registrar such as enom, GoDaddy. Note: If you already have a domain that you would like to use for the trial you can do this but this course does not provide detailed steps on how to associate an existing domain with a G Suite trial account. For detailed instructions on how to do that, please refer to this Help Center article: https://support.google.com/a/topic/9196 - Provide credit card details as part of the G Suite account setup. You will be using a 14 day trial G Suite Enterprise account during this course. As part of the sign up flow you will be required to provide credit card details. No charges for G Suite are made to your credit card until the trial period has ended. You must ensure that you CANCEL YOUR SUBSCRIPTION before the trial period ends to avoid and charges. This is very IMPORTANT so don't forget! - Install and be ready to use the latest version of Chrome web browser available at https://www.google.com/chrome/"
Electric Industry Operations and Markets,electricity,Duke University,Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/electricity,pricing  Electrical Engineering  generation  Operations Management  Energy Markets  market (economics)  renewable energy  electricity pricing  energy  Marketing physical-science-and-engineering environmental-science-and-sustainability,"This is a two week course. In the first week you will learn about the core activities that the Industry executes to bring electricity to customers. We will review what electricity is, how it is generated, how it is transmitted, how it comes into buildings, and how consumption of electricity instantly feeds back on the transmission and generation of electricity. You will learn to: Define what electricity is; Describe how electricity is generated, transmitted and distributed; Describe how electricity is generated, transmitted and distributed; and Summarize how the consumption of electric energy instantly feeds back on the transmission and generation of electricity.   In the second week, the course shifts to the markets that drive Electric Industry operations. You will learn about the various costs of the electric industry�s core activities, how electricity is priced, the various ways that electric markets are structured, how these market structures determine which power plants are dispatched to produce electricity when, and how recent changes in generator fuel prices, generation technology, market regulations, and environmental regulations are transforming both Electric Industry Markets and Operations. You will learn to: Describe the main cost components to the electric system; Compare the costs of different types of power plants; Interpret the retail pricing of electricity;  Explain the different types of electric markets and understand how they operate to dispatch electric supply to meet demand in real time; and Explain why and how the electric industry is regulated."
Preparing to Manage Human Resources,managing-human-resources,University of Minnesota,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/managing-human-resources,law  employment  Human Resources  resource management  Leadership and Management  leadership  resource  HR Strategy  human resource management system  Strategy business leadership-and-management,"One way or another, all employees are managed. But approaches to managing employees varying from employee-to-employee, job-to-job, manager-to-manager, organization-to-organization, and country-to-country. This course provides a foundation for developing your own approach to skillfully managing employees by illustrating alternative human resource management (HRM) strategies, introducing the importance of the legal context, and thinking about what motivates employees. This will then give you the factual and conceptual basis for developing specific, critical HRM skills in subsequent courses on hiring employees, managing performance, and rewarding employees. Don't know anything about HRM? That's OK! Leave this course with a new-found understanding of the range of options available for managing employees, a grasp of what makes workers tick, and the readiness to develop your own HRM skills."
De-Mystifying Mindfulness,mindfulness,Universiteit Leiden,Not specified,Intermediate,4.8,No reviews,https://www.coursera.org/learn/mindfulness,stress  calmness  compassion  mindfulness  gratitude  kindness  philosophy  Human Learning  meditation  awareness personal-development personal-development,"Interest in meditation, mindfulness, and contemplation has grown exponentially in recent years.  Rather than being seen as mystical practices from ancient Buddhism or esoteric philosophy, they are increasingly seen as technologies rooted in evidence from psychology and neuroscience.  Mindfulness has become the basis for numerous therapeutic interventions, both as a treatment in healthcare and as a means of enhancing well-being and happiness.  For millions around the world, mindfulness has become a life-style choice, enhancing and enriching everyday experience. Mindfulness is big business.  But, what actually is mindfulness?  Is it really good for you?  Can anyone learn it?  How can you recognize charlatans? Would you want to live in a mindful society, and would it smell like sandalwood?  What does it feel like to be mindful?  Are you mindful already, and how would you know?  Evolving from the popular Honours Academy course at Leiden University, this innovative course combines conventional scholarly inquiry from multiple disciplines (ranging from psychology, through philosophy, to politics) with experiential learning (including specially designed �meditation labs,� in which you�ll get chance to practice and analyze mindfulness on yourself).  In the end, the course aims to provide a responsible, comprehensive, and inclusive education about (and in) mindfulness as a contemporary phenomenon.  During the production of this course, we have been supported by Willem Kuyken, Director of the University of Oxford Mindfulness Centre, and Stephen Batchelor, co-founder of Bodhi College.  And we gratefully acknowledge the contributions made by Mark Williams, co-developer of Mindfulness-based Cognitive Therapy (MBCT), and Rebecca Crane, Director of the Centre for Mindfulness Research and Practice at the University of Bangor.  ""The course enabled me to explore the mindfulness construct at its deeper lever from philosophical, psychological and political lenses. The mindfulness labs were very useful in practicing the skills of being mindful."" 23 nov 2018  ""i took this course after a period of time when I was trying to practice mindfulness and meditation, but with doubtful success. The course answered many questions to me, and I needed that to keep me motivated. It really helped me understand the origins and, more importantly, benefits of mindfulness practice and made me persist in my attempts. I'm really glad I took the course, I find it interesting, well taught and very useful for all those seeking deeper explanation in why trying mindfulness."" 9 Oct 2018  ""I have taken other courses in other online platforms. However, this has been one of the best courses I have found online."" 3 Oct 2018  ""I really like the invitation to us, the learners, to rethink our preconceptions and beliefs, and then make our own judgement about mindfulness. The overall tone was very friendly and open, resources very useful."" 12 Dec 2017"
Neural Networks and Deep Learning,neural-networks-deep-learning,DeepLearning.AI,Intermediate · Course · 1 - 4 Weeks,Beginner,4.9,4.9(120K reviews),https://www.coursera.org/learn/neural-networks-deep-learning,Deep Learning  Regression  Human Learning  Backpropagation  supply chain  Python Programming  Computer Programming  Artificial Neural Networks  Logistic Regression  Numpy data-science machine-learning,"If you want to break into cutting-edge AI, this course will help you do so. Deep learning engineers are highly sought after, and mastering deep learning will give you numerous new career opportunities. Deep learning is also a new ""superpower"" that will let you build AI systems that just weren't possible a few years ago.   In this course, you will learn the foundations of deep learning. When you finish this class, you will: - Understand the major technology trends driving Deep Learning - Be able to build, train and apply fully connected deep neural networks  - Know how to implement efficient (vectorized) neural networks  - Understand the key parameters in a neural network's architecture   This course also teaches you how Deep Learning actually works, rather than presenting only a cursory or surface-level description. So after completing it, you will be able to apply deep learning to a your own applications. If you are looking for a job in AI, after this course you will also be able to answer basic interview questions.   This is the first course of the Deep Learning Specialization."
The Horse Course: Introduction to Basic Care and Management,horse-care,University of Florida,Not specified,Beginner,4.9,No reviews,https://www.coursera.org/learn/horse-care,Human Learning  disease  behavior  animal behavior  anatomy  Leadership and Management  Disease Management  animal  nutrition  horse care life-sciences animal-health,"There are over 100 million horses, donkeys and mules in the world today and owners of these animals can be found on almost every continent and in almost every society.  The Horse Course will cover many unique aspects of equine ownership and touch upon the science behind many of today�s management practices."
Crash Course on Python,python-crash-course,Google,Beginner · Course · 1 - 3 Months,Conversant,4.7,4.8(35K reviews),https://www.coursera.org/learn/python-crash-course,list comprehension  python syntax and semantics  ipython  Problem Solving  Computer Programming  semantics  syntax  Data Structures  Python Programming  data type information-technology support-and-operations,"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem.   We'll start off by diving into the basics of writing a computer program. Along the way, you�ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You�ll quickly start to see how computers can perform a multitude of tasks � you just have to write code that tells them what to do."
Databases and SQL for Data Science,sql-data-science,IBM,Not specified,Conversant,4.6,No reviews,https://www.coursera.org/learn/sql-data-science,Computer Programming  Python Programming  Databases  ipython  SQL  Leadership and Management  ibm db2  Database Connection  Cloud Computing  relational database data-science data-analysis,"Much of the world's data resides in databases. SQL (or Structured Query Language) is a powerful language which is used for communicating with and extracting data from databases. A working knowledge of databases and SQL is a must if you want to become a data scientist.  The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.    The emphasis in this course is on hands-on and practical learning . As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.  No prior knowledge of databases, SQL, Python, or programming is required.  Anyone can audit this course at no-charge. If you choose to take this course and earn the Coursera course certificate, you can also earn an IBM digital badge upon successful completion of the course.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate."
Databases and SQL for Data Science,sql-data-science,IBM,Not specified,Conversant,4.6,No reviews,https://www.coursera.org/learn/sql-data-science,Computer Programming  Python Programming  Databases  ipython  SQL  Leadership and Management  ibm db2  Database Connection  Cloud Computing  relational database data-science data-analysis,"Much of the world's data resides in databases. SQL (or Structured Query Language) is a powerful language which is used for communicating with and extracting data from databases. A working knowledge of databases and SQL is a must if you want to become a data scientist.  The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.    The emphasis in this course is on hands-on and practical learning . As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.  No prior knowledge of databases, SQL, Python, or programming is required.  Anyone can audit this course at no-charge. If you choose to take this course and earn the Coursera course certificate, you can also earn an IBM digital badge upon successful completion of the course.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate."
Databases and SQL for Data Science,sql-data-science,IBM,Not specified,Conversant,4.6,No reviews,https://www.coursera.org/learn/sql-data-science,Computer Programming  Python Programming  Databases  ipython  SQL  Leadership and Management  ibm db2  Database Connection  Cloud Computing  relational database data-science data-analysis,"Much of the world's data resides in databases. SQL (or Structured Query Language) is a powerful language which is used for communicating with and extracting data from databases. A working knowledge of databases and SQL is a must if you want to become a data scientist.  The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.    The emphasis in this course is on hands-on and practical learning . As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.  No prior knowledge of databases, SQL, Python, or programming is required.  Anyone can audit this course at no-charge. If you choose to take this course and earn the Coursera course certificate, you can also earn an IBM digital badge upon successful completion of the course.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate."
Understanding Financial Markets,understanding-financial-markets,University of Geneva,Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/understanding-financial-markets,Risk  investment  interest  stock  bond market  Finance  financial markets  Leadership and Management  market (economics)  equity (finance) business finance,"In this course, you will learn what the main financial markets and their characteristics are as well as how they are linked to the economy.   Our very diversified team of experts will start by teaching you how the price of stocks and bonds are computed and why they move while you will become increasingly aware of the notion of risk and why it matters when measuring an investment's performance. The focus will then move to less popular markets such as gold, emerging markets, real estate, hedge funds and private markets. These will be analyzed with an emphasis on their particular risks and return opportunities as well as how they can help in building efficient portfolios. Finally, the policies of central banks and their impact on financial markets will be presented to you along with the link between the economy and the price of financial assets.  All along these different steps, experts from UBS, our corporate partner, will show you how the concepts you just acquired are effectively applied in a leading global bank. This focus on practicality means you will not only understand what is going on in global financial markets but also start to figure out how you can use them to achieve financial goals, be it a client's or your own.  Course Director and main teaching contributor: Dr. Michel Girardin, Lecturer in Macro-Finance, University of Geneva"
Legal Tech & Startups,legal-tech-startups,IE Business School,Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/legal-tech-startups,lean startup  MailChimp  Marketing  Business Law  stock market  growth hacking  key market  software  Product Development  law business entrepreneurship,"LegalTech is the reaction to the disruption that technology is having across all sectors of the economy. Considering that the legal sector is one of the most resistant to change, due to its conservative nature, we can see just how different the future will be. In this course, IE professor Marti Manent will guide you through the essential stages of this disruption in technology, giving you the key tools and ideas to consider when starting your online business.   In the course, Marti explains the key market trends that you will encounter and will provide you with a handy practical toolbox. The course features interviews with industry professionals as well as very motivating and interesting lectures that will help you open your mind and better understand everything in the course. Be part of this disruption that technology is having in the legal sector and join Professor Marti during this exciting new course."
Introduction to Data Science in Python,python-data-analysis,University of Michigan,Not specified,Advanced,4.3,No reviews,https://www.coursera.org/learn/python-data-analysis,analysis  Pandas  Data Analysis  Computer Programming  statistical hypothesis testing  Numpy  Data Manipulation  General Statistics  hypothesis  Python Programming data-science data-analysis,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.   This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python."
Moralities of Everyday Life,moralities,Yale University,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/moralities,Critical Thinking  moral psychology  philosophy  verse protocol  psychologies  moral universe  reason  psychology  ethics  thought life-sciences psychology,How can we explain kindness and cruelty? Where does our sense of right and wrong come from? Why do people so often disagree about moral issues? This course explores the psychological foundations of our moral lives.
"Cybersecurity Roles, Processes & Operating System Security",cybersecurity-roles-processes-operating-system-security,IBM,Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,Cloud Computing  operating system security  security  cyber-security regulation  virtual machine  file system  System Security  process  Operating Systems  cloud computing security information-technology security,"This course gives you the background needed to understand basic Cybersecurity  around people. process and technology.  You will learn:  ?\t Understand the key cybersecurity roles within an Organization.  ?\t List key cybersecurity processes and an example of each process. ?\t Describe the architecture, file systems, and basic commands for multiple operating systems including Windows, Mac/OS, Linux and Mobile. ?\t Understand the concept of Virtualization as it relates to cybersecurity   Finally, you will begin to learn about organizations and resources to further research cybersecurity issues in the Modern era.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the second course in a series of courses to acquire the skills to work in the Cybersecurity field as a Jr Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Cybersecurity Roles, Processes & Operating System Security IBM digital badge.  More information about the badge can be found here:   https://www.youracclaim.com/org/ibm/badge/cybersecurity-roles-processes-operating-system-security"
"Cybersecurity Roles, Processes & Operating System Security",cybersecurity-roles-processes-operating-system-security,IBM,Not specified,Beginner,4.5,No reviews,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,Cloud Computing  operating system security  security  cyber-security regulation  virtual machine  file system  System Security  process  Operating Systems  cloud computing security information-technology security,"This course gives you the background needed to understand basic Cybersecurity  around people. process and technology.  You will learn:  ?\t Understand the key cybersecurity roles within an Organization.  ?\t List key cybersecurity processes and an example of each process. ?\t Describe the architecture, file systems, and basic commands for multiple operating systems including Windows, Mac/OS, Linux and Mobile. ?\t Understand the concept of Virtualization as it relates to cybersecurity   Finally, you will begin to learn about organizations and resources to further research cybersecurity issues in the Modern era.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the second course in a series of courses to acquire the skills to work in the Cybersecurity field as a Jr Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Cybersecurity Roles, Processes & Operating System Security IBM digital badge.  More information about the badge can be found here:   https://www.youracclaim.com/org/ibm/badge/cybersecurity-roles-processes-operating-system-security"
Embedded Software and Hardware Architecture,embedded-software-hardware,University of Colorado Boulder,Not specified,Intermediate,4.1,No reviews,https://www.coursera.org/learn/embedded-software-hardware,Microarchitecture  list of arm microarchitectures  microprocessor  Data Structures  interrupt vector table  Computer Architecture  architecture  embedded c  central processing unit  microcontroller physical-science-and-engineering electrical-engineering,"Embedded Software and Hardware Architecture is a first dive into understanding embedded architectures and writing software to manipulate this hardware. You will gain experience writing low-level firmware to directly interface hardware with highly efficient, readable and portable design practices. We will now transition from the Host Linux Machine where we built and ran code in a simulated environment to an Integrated Development Environment where you will build and install code directly on your ARM Cortex-M4 Microcontroller. Course assignments include writing firmware to interact and configure both the underlying ARM architecture and the MSP432 microcontroller platform. The course concludes with a project where you will develop a circular buffer data structure.   In this course you will need the Texas Instruments LaunchPad with the MSP432 microcontroller in order to complete the assignments. Later courses of the Specialization will continue to use this hardware tool to develop even more exciting firmware."
Introduction to Software Product Management,introduction-to-software-product-management,University of Alberta,Not specified,Beginner,4.6,No reviews,https://www.coursera.org/learn/introduction-to-software-product-management,project  Software Engineering  Product Management  Leadership and Management  software  Agile Software Development  agile management  software product management  Planning  agile manifesto computer-science design-and-product,"This course highlights the importance and role of software product management. It also provides an overview of the specialization, as well as its goals, structure, and expectations. The course explains the value of process, requirements, planning, and monitoring in producing better software."
Learning How to Learn: Powerful mental tools to help you master tough subjects,learning-how-to-learn,University of California San Diego,Beginner · Course · 1 - 4 Weeks,Conversant,4.8,4.8(88K reviews),https://www.coursera.org/learn/learning-how-to-learn,pomodoro technique  stress  procrastination  stress management  Leadership and Management  learning to learn  test preparation  Human Learning  memory  learning how to learn personal-development personal-development,"This course gives you easy access to the invaluable learning techniques used by experts in art, music, literature, math, science, sports, and many other disciplines. We�ll learn about the how the brain uses two very different learning modes and how it encapsulates (�chunks�) information. We�ll also cover illusions of learning, memory techniques, dealing with procrastination, and best practices shown by research to be most effective in helping you master tough subjects.    Using these approaches, no matter what your skill levels in topics you would like to master, you can change your thinking and change your life. If you�re already an expert, this peep under the mental hood will give you ideas for: turbocharging successful learning, including counter-intuitive test-taking tips and insights that will help you make the best use of your time on homework and problem sets. If you�re struggling, you�ll see a structured treasure trove of practical techniques that walk you through what you need to do to get on track. If you�ve ever wanted to become better at anything, this course will help serve as your guide.  This course can be taken independent of, concurrent with, or prior to, its companion course, Mindshift. (Learning How to Learn is more learning focused, and Mindshift is more career focused.)  To join the fully translated Portuguese version of the course, visit: https://www.coursera.org/learn/aprender To join the fully translated Spanish version of the course, visit: https://www.coursera.org/learn/aprendiendo-a-aprender To join the fully translated Chinese version of the course, visit: https://www.coursera.org/learn/ruhe-xuexi To join the fully translated French version of the course, visit : http://www.coursera.org/learn/apprendre-comment-apprendre"
The Cycle: Management of Successful Arts and Cultural Organizations,the-cycle,"University of Maryland, College Park",Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/the-cycle,fundraising  Strategy  art  Leadership and Management  thriving  Planning  strategic planning  marketing strategy  event management  Marketing arts-and-humanities music-and-art,"What makes a successful arts and cultural organization? Led by DeVos Institute Chairman Michael M. Kaiser and President Brett Egan, this course will introduce you to a management theory called the Cycle which supports thriving arts and cultural organizations. Learning from our work with managers from over 80 countries around the world, the DeVos Institute developed the Cycle as a simple, but powerful tool to assist managers in their effort to respond to an increasingly complex environment and propel their institutions to excellence.   The Cycle explains how great art and strong marketing can create a family of supporters, who in turn help the organization produce the revenue required to support even more great art the next year. The Institute has seen the Cycle work in performing and presenting organizations, as well as museums, arts schools, and other nonprofit endeavors like service organizations, historical societies, public libraries, university programs, advocacy organizations, botanical gardens, and zoos.  By taking this course, you will learn:   � the importance of bold, exciting, and mission-driven programming in an organization;  � how long-term artistic planning can help an organization produce this work;  � how an organization can aggressively market that programming and the institution behind it to develop a family of supporters - including ticket buyers, board members, donors, trustees and volunteers;  � how an organization can cultivate and steward this family to build a healthy base of earned and contributed income; and  � how an organization can reinvest that income into increasingly ambitious programming year after year.  All course material is available upon enrollment for self-paced learners. New scheduled sessions begin each month.   For more information about the DeVos Institute's work, visit www.DeVosInstitute.umd.edu."
Epidemiology: The Basic Science of Public Health,epidemiology,The University of North Carolina at Chapel Hill,Not specified,Intermediate,4.6,No reviews,https://www.coursera.org/learn/epidemiology,Prevalence  Epidemiology  public health  Clinical Study Design  health research  disease  Risk  measurement  General Statistics  Causality life-sciences public-health,"Often called �the cornerstone� of public health, epidemiology is the study of the distribution and determinants of diseases, health conditions, or events among populations and the application of that study to control health problems. By applying the concepts learned in this course to current public health problems and issues, students will  understand the practice of epidemiology as it relates to real life and makes for a better appreciation of public health programs and policies. This course explores public health issues like cardiovascular and infectious diseases � both locally and globally � through the lens of epidemiology."
Six Sigma and the Organization (Advanced),six-sigma-organization-advanced,University System of Georgia,Not specified,Advanced,4.6,No reviews,https://www.coursera.org/learn/six-sigma-organization-Advanced,green belt  Trigonometric Integral  project  lean six sigma  Process Improvement  Project Management  process  six sigma  Six Sigma Green Belt  Leadership and Management business leadership-and-management,"This course is for you if you are looking to dive deeper into Six Sigma or strengthen and expand your knowledge of the basic components of green belt level of Six Sigma and Lean. Six Sigma skills are widely sought by employers both nationally and internationally. These skills have been proven to help improve business processes and performance. This course will introduce you to the purpose of Six Sigma and its value to an organization. You will learn about the basic principles of Six Sigma and Lean. Your instructors will introduce you to, and have you apply, some of the tools and metrics that are critical components of Six Sigma. This course will provide you with the basic knowledge of the principles, roles, and responsibilities of Six Sigma and Lean.   Every module will include readings, videos, and a quiz to help make sure you understand the material and concepts that are studied. You will also have the opportunity to participate in discussions and peer review exercises to give you the opportunity to apply the material to your daily life.  Registration includes online access to course content, projects, and resources but does not include the companion text The Certified Six Sigma Green Belt Handbook (2nd edition). The companion text is NOT required to complete the assignments. However, the text is a recognized handbook used by professionals in the field. Also, it is a highly-recommended text for those wishing to move forward in Six Sigma and eventually gain certification from professional agencies such as American Society for Quality (ASQ)."
Financial Accounting Fundamentals,uva-darden-financial-accounting,University of Virginia,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/uva-darden-financial-accounting,Finance  cash flow statement  balance sheet  income statement  flow network  income  Financial Accounting  Accounting  cash flow  financial statement business business-essentials,"This course, developed at the Darden School of Business at the University of Virginia and taught by top-ranked faculty, will teach you the tools you'll need to understand the fundamentals of financial accounting. Concise videos, the financial records of a small business, and ""your turn"" activities guide you through the three most commonly used financial statements: the Balance Sheet, the Income Statement, and the Statement of Cash Flows. Beyond recording transactions, you'll learn how to prepare these financial statements, and read and analyze them to draw basic conclusions about a company's financial health.  By the end of this course, you will be able to: - Use journal entries to record transactions - Prepare and use t-accounts to summarize transactions recorded during an accounting period - Describe the three most commonly used financial statements and how they fit together - Prepare these financial statements based on transactions recorded during an accounting period - Draw basic conclusions about a company's financial health"
